2018-04-21 10:05:39 this bot joined the server
2018-04-21 10:25:25 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #a25e50 to #3817a4
2018-04-21 10:25:33 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3817a4 to #f1cc80
2018-04-21 10:25:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #f1cc80 to #b8ec12
2018-04-21 10:25:44 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #b8ec12 to #7daad1
2018-04-21 10:25:47 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7daad1 to #37026e
2018-04-21 10:25:55 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #37026e to #2e4dd2
2018-04-21 10:26:06 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2e4dd2 to #0f24a8
2018-04-21 10:26:10 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0f24a8 to #1c16bb
2018-04-21 10:26:17 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #1c16bb to #ad6514
2018-04-21 10:26:21 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #ad6514 to #2c151b
2018-04-21 10:26:28 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #2c151b to #0f014b
2018-04-21 10:26:32 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0f014b to #7bc2f7
2018-04-21 10:26:36 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #7bc2f7 to #338dee
2018-04-21 10:26:40 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #338dee to #18ba8d
2018-04-21 10:26:43 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #18ba8d to #1098ec
2018-04-21 10:26:51 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #1098ec to #e17114
2018-04-21 10:26:54 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e17114 to #280c0d
2018-04-21 10:27:02 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #280c0d to #e8beeb
2018-04-21 10:27:09 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e8beeb to #61eacc
2018-04-21 10:27:12 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #61eacc to #9504c2
2018-04-21 10:27:16 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9504c2 to #3bdafb
2018-04-21 10:27:20 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #3bdafb to #c2dc86
2018-04-21 10:27:27 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c2dc86 to #0ee554
2018-04-21 10:27:34 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #0ee554 to #e9bf03
2018-04-21 10:27:37 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #e9bf03 to #5e5e28
2018-04-21 10:27:41 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #5e5e28 to #c0c27c
2018-04-21 10:27:48 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #c0c27c to #826e15
2018-04-21 10:27:52 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #826e15 to #04ce91
2018-04-21 10:27:59 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #04ce91 to #aababc
2018-04-21 10:28:03 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #aababc to #000705
2018-04-21 10:28:07 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #000705 to #30f15f
2018-04-21 10:28:10 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #30f15f to #9273fb
2018-04-21 10:28:14 Role color: 'OWNER [WHOLE UNIVERSE]' changed from #9273fb to #cf5602
